id,type,group,name
76,7,acc,z
77,7,baro,asl
78,7,baro,temp
79,7,baro,pressure
80,5,controller,ctr_yaw
81,7,ctrltarget,x
82,7,ctrltarget,y
83,7,ctrltarget,z
84,7,ctrltarget,vx
85,7,ctrltarget,vy
86,7,ctrltarget,vz
87,7,ctrltarget,ax
88,7,ctrltarget,ay
89,7,ctrltarget,az
90,7,ctrltarget,roll
91,2,ranging,state
92,7,ctrltarget,yaw
93,5,ctrltargetZ,x
94,5,ctrltargetZ,y
95,5,ctrltargetZ,z
96,5,ctrltargetZ,vx
97,5,ctrltargetZ,vy
98,5,ctrltargetZ,vz
99,5,ctrltargetZ,ax
100,5,ctrltargetZ,ay
101,5,ctrltargetZ,az
102,7,gyro,x
103,7,gyro,y
104,7,gyro,z
105,7,health,motorVarXM1
106,7,health,motorVarYM1
107,7,health,motorVarXM2
108,7,health,motorVarYM2
109,7,health,motorVarXM3
110,7,health,motorVarYM3
111,7,health,motorVarXM4
112,7,health,motorVarYM4
113,1,health,motorPass
114,2,health,motorTestCount
115,1,health,checkStops
116,7,mag,x
117,7,mag,y
118,7,mag,z
119,7,stabilizer,roll
120,7,stabilizer,pitch
121,7,stabilizer,yaw
122,7,stabilizer,thrust
123,7,stabilizer,rtStab
124,3,stabilizer,intToOut
125,7,stateEstimate,x
126,7,stateEstimate,y
127,7,stateEstimate,z
128,7,stateEstimate,vx
129,7,stateEstimate,vy
130,7,stateEstimate,vz
131,7,stateEstimate,ax
132,7,stateEstimate,ay
133,7,stateEstimate,az
134,7,stateEstimate,roll
135,7,stateEstimate,pitch
136,7,stateEstimate,yaw
137,7,stateEstimate,qx
138,7,stateEstimate,qy
139,7,stateEstimate,qz
140,7,stateEstimate,qw
141,5,stateEstimateZ,x
142,5,stateEstimateZ,y
143,5,stateEstimateZ,z
144,5,stateEstimateZ,vx
145,5,stateEstimateZ,vy
146,5,stateEstimateZ,vz
147,5,stateEstimateZ,ax
148,5,stateEstimateZ,ay
149,5,stateEstimateZ,az
150,3,stateEstimateZ,quat
151,5,stateEstimateZ,rateRoll
152,5,stateEstimateZ,ratePitch
153,5,stateEstimateZ,rateYaw
154,7,posEstAlt,estimatedZ
155,7,posEstAlt,estVZ
156,7,posEstAlt,velocityZ
157,7,posCtl,targetVX
158,7,posCtl,targetVY
159,7,posCtl,targetVZ
160,7,posCtl,targetX
161,7,posCtl,targetY
162,7,posCtl,targetZ
163,7,posCtl,Xp
164,7,posCtl,Xi
165,7,posCtl,Xd
166,7,posCtl,Yp
167,7,posCtl,Yi
168,7,posCtl,Yd
169,7,posCtl,Zp
170,7,posCtl,Zi
171,7,posCtl,Zd
172,7,posCtl,VXp
173,7,posCtl,VXi
174,7,posCtl,VXd
175,7,posCtl,VZp
176,7,posCtl,VZi
177,7,posCtl,VZd
178,7,posCtrlIndi,gyr_p
179,7,posCtrlIndi,gyr_q
180,7,posCtrlIndi,gyr_r
181,7,posCtrlIndi,posRef_x
182,7,posCtrlIndi,posRef_y
183,7,posCtrlIndi,posRef_z
184,7,posCtrlIndi,velS_x
185,7,posCtrlIndi,velS_y
186,7,posCtrlIndi,velS_z
187,7,posCtrlIndi,velRef_x
188,7,posCtrlIndi,velRef_y
189,7,posCtrlIndi,velRef_z
190,7,posCtrlIndi,angS_roll
191,7,posCtrlIndi,angS_pitch
192,7,posCtrlIndi,angS_yaw
193,7,posCtrlIndi,angF_roll
194,7,posCtrlIndi,angF_pitch
195,7,posCtrlIndi,angF_yaw
196,7,posCtrlIndi,accRef_x
197,7,posCtrlIndi,accRef_y
198,7,posCtrlIndi,accRef_z
199,7,posCtrlIndi,accS_x
200,7,posCtrlIndi,accS_y
201,7,posCtrlIndi,accS_z
202,7,posCtrlIndi,accF_x
203,7,posCtrlIndi,accF_y
204,7,posCtrlIndi,accF_z
205,7,posCtrlIndi,accFT_x
206,7,posCtrlIndi,accFT_y
207,7,posCtrlIndi,accFT_z
208,7,posCtrlIndi,accErr_x
209,7,posCtrlIndi,accErr_y
210,7,posCtrlIndi,accErr_z
211,7,posCtrlIndi,phi_tilde
212,7,posCtrlIndi,theta_tilde
213,7,posCtrlIndi,T_tilde
214,7,posCtrlIndi,T_inner
215,7,posCtrlIndi,T_inner_f
216,7,posCtrlIndi,T_incremented
217,7,posCtrlIndi,cmd_phi
218,7,posCtrlIndi,cmd_theta
219,7,controller,cmd_thrust
220,7,controller,cmd_roll
221,7,controller,cmd_pitch
222,7,controller,cmd_yaw
223,7,controller,r_roll
224,7,controller,r_pitch
225,7,controller,r_yaw
226,7,controller,accelz
227,7,controller,actuatorThrust
228,7,controller,roll
229,7,controller,pitch
230,7,controller,yaw
231,7,controller,rollRate
232,7,controller,pitchRate
233,7,controller,yawRate
234,7,ctrlMel,cmd_thrust
235,7,ctrlMel,cmd_roll
236,7,ctrlMel,cmd_pitch
237,7,ctrlMel,cmd_yaw
238,7,ctrlMel,r_roll
239,7,ctrlMel,r_pitch
240,7,ctrlMel,r_yaw
241,7,ctrlMel,accelz
242,7,ctrlMel,zdx
243,7,ctrlMel,zdy
244,7,ctrlMel,zdz
245,7,ctrlMel,i_err_x
246,7,ctrlMel,i_err_y
247,7,ctrlMel,i_err_z
248,7,ctrlINDI,cmd_thrust
249,7,ctrlINDI,cmd_roll
250,7,ctrlINDI,cmd_pitch
251,7,ctrlINDI,cmd_yaw
252,7,ctrlINDI,r_roll
253,7,ctrlINDI,r_pitch
254,7,ctrlINDI,r_yaw
255,7,ctrlINDI,accelz
256,7,ctrlINDI,u_act_dyn.p
257,7,ctrlINDI,u_act_dyn.q
258,7,ctrlINDI,u_act_dyn.r
259,7,ctrlINDI,du.p
260,7,ctrlINDI,du.q
261,7,ctrlINDI,du.r
262,7,ctrlINDI,ang_accel_ref.p
263,7,ctrlINDI,ang_accel_ref.q
264,7,ctrlINDI,ang_accel_ref.r
265,7,ctrlINDI,rate_d[0]
266,7,ctrlINDI,rate_d[1]
267,7,ctrlINDI,rate_d[2]
268,7,ctrlrpyt,cmd_thrust
269,7,ctrlrpyt,cmd_roll
270,7,ctrlrpyt,cmd_pitch
271,7,ctrlrpyt,cmd_yaw
272,7,ctrlthrust,cmd_thrust
273,7,ctrlthrust,cmd_roll
274,7,ctrlthrust,cmd_pitch
275,7,ctrlthrust,cmd_yaw
276,7,ctrlClover,cmd_thrust
277,7,ctrlClover,cmd_roll
278,7,ctrlClover,cmd_pitch
279,7,ctrlClover,cmd_yaw
280,7,ctrlClover,r_roll
281,7,ctrlClover,r_pitch
282,7,ctrlClover,r_yaw
283,7,ctrlClover,accelz
284,7,ctrlClover,actuatorThrust
285,7,ctrlClover,roll
286,7,ctrlClover,pitch
287,7,ctrlClover,yaw
288,7,ctrlClover,rollRate
289,7,ctrlClover,pitchRate
290,7,ctrlClover,yawRate
291,3,motor,m1
292,3,motor,m2
293,3,motor,m3
294,3,motor,m4
295,1,kalman,inFlight
296,7,kalman,stateX
297,7,kalman,stateY
298,7,kalman,stateZ
299,7,kalman,statePX
300,7,kalman,statePY
301,7,kalman,statePZ
302,7,kalman,stateD0
303,7,kalman,stateD1
304,7,kalman,stateD2
305,7,kalman,varX
306,7,kalman,varY
307,7,kalman,varZ
308,7,kalman,varPX
309,7,kalman,varPY
310,7,kalman,varPZ
311,7,kalman,varD0
312,7,kalman,varD1
313,7,kalman,varD2
314,7,kalman,q0
315,7,kalman,q1
316,7,kalman,q2
317,7,kalman,q3
318,7,kalman,rtUpdate
319,7,kalman,rtPred
320,7,kalman,rtBaro
321,7,kalman,rtFinal
322,7,kalman,rtApnd
323,7,kalman,rtRej
324,7,kalman_states,ox
325,7,kalman_states,oy
326,7,kalman_states,vx
327,7,kalman_states,vy
328,7,kalman_pred,predNX
329,7,kalman_pred,predNY
330,7,kalman_pred,measNX
331,7,kalman_pred,measNY
332,6,outlierf,lhWin
333,3,colAv,latency
334,7,ring,fadeTime
335,6,gps,lat
336,6,gps,lon
337,7,gps,hMSL
338,7,gps,hAcc
339,6,gps,nsat
340,6,gps,fix
341,7,usd,spiWrBps
342,7,usd,spiReBps
343,7,usd,fatWrBps
344,1,loco,mode
345,7,loco,spiWr
346,7,loco,spiRe
347,2,ranging,state
348,7,ranging,distance0
349,7,ranging,distance1
350,7,ranging,distance2
351,7,ranging,distance3
352,7,ranging,distance4
353,7,ranging,distance5
354,7,ranging,distance6
355,7,ranging,distance7
356,7,ranging,pressure0
357,7,ranging,pressure1
358,7,ranging,pressure2
359,7,ranging,pressure3
360,7,ranging,pressure4
361,7,ranging,pressure5
362,7,ranging,pressure6
363,7,ranging,pressure7
364,1,twr,rangingSuccessRate0
365,1,twr,rangingPerSec0
366,1,twr,rangingSuccessRate1
367,1,twr,rangingPerSec1
368,1,twr,rangingSuccessRate2
369,1,twr,rangingPerSec2
370,1,twr,rangingSuccessRate3
371,1,twr,rangingPerSec3
372,1,twr,rangingSuccessRate4
373,1,twr,rangingPerSec4
374,1,twr,rangingSuccessRate5
375,1,twr,rangingPerSec5
376,7,tdoa2,d7-0
377,7,tdoa2,d0-1
378,7,tdoa2,d1-2
379,7,tdoa2,d2-3
380,7,tdoa2,d3-4
381,7,tdoa2,d4-5
382,7,tdoa2,d5-6
383,7,tdoa2,d6-7
384,7,tdoa2,cc0
385,7,tdoa2,cc1
386,7,tdoa2,cc2
387,7,tdoa2,cc3
388,7,tdoa2,cc4
389,7,tdoa2,cc5
390,7,tdoa2,cc6
391,7,tdoa2,cc7
392,2,tdoa2,dist7-0
393,2,tdoa2,dist0-1
394,2,tdoa2,dist1-2
395,2,tdoa2,dist2-3
396,2,tdoa2,dist3-4
397,2,tdoa2,dist4-5
398,2,tdoa2,dist5-6
399,2,tdoa2,dist6-7
400,7,tdoaEngine,stRx
401,7,tdoaEngine,stEst
402,7,tdoaEngine,stTime
403,7,tdoaEngine,stFound
404,7,tdoaEngine,stCc
405,7,tdoaEngine,stHit
406,7,tdoaEngine,stMiss
407,7,tdoaEngine,cc
408,2,tdoaEngine,tof
409,7,tdoaEngine,tdoa
410,6,outlierf,bucket0
411,6,outlierf,bucket1
412,6,outlierf,bucket2
413,6,outlierf,bucket3
414,6,outlierf,bucket4
415,7,outlierf,accLev
416,7,outlierf,errD
417,1,motion,motion
418,5,motion,deltaX
419,5,motion,deltaY
420,2,motion,shutter
421,1,motion,maxRaw
422,1,motion,minRaw
423,1,motion,Rawsum
424,1,motion,outlierCount
425,1,motion,squal
426,7,motion,std
427,2,oa,front
428,2,oa,back
429,2,oa,up
430,2,oa,left
431,2,oa,right
432,1,activeMarker,btSns
433,1,activeMarker,i2cOk
434,1,aideck,receivebyte
435,1,lighthouse,validAngles
436,7,lighthouse,rawAngle0x
437,7,lighthouse,rawAngle0y
438,7,lighthouse,rawAngle1x
439,7,lighthouse,rawAngle1y
440,7,lighthouse,angle0x
441,7,lighthouse,angle0y
442,7,lighthouse,angle1x
443,7,lighthouse,angle1y
444,7,lighthouse,angle0x_1
445,7,lighthouse,angle0y_1
446,7,lighthouse,angle1x_1
447,7,lighthouse,angle1y_1
448,7,lighthouse,angle0x_2
449,7,lighthouse,angle0y_2
450,7,lighthouse,angle1x_2
451,7,lighthouse,angle1y_2
452,7,lighthouse,angle0x_3
453,7,lighthouse,angle0y_3
454,7,lighthouse,angle1x_3
455,7,lighthouse,angle1y_3
456,7,lighthouse,rawAngle0xlh2
457,7,lighthouse,rawAngle0ylh2
458,7,lighthouse,rawAngle1xlh2
459,7,lighthouse,rawAngle1ylh2
460,7,lighthouse,angle0x_0lh2
461,7,lighthouse,angle0y_0lh2
462,7,lighthouse,angle1x_0lh2
463,7,lighthouse,angle1y_0lh2
464,7,lighthouse,serRt
465,7,lighthouse,frmRt
466,7,lighthouse,cycleRt
467,7,lighthouse,bs0Rt
468,7,lighthouse,bs1Rt
469,2,lighthouse,width0
470,2,lighthouse,width1
471,2,lighthouse,width2
472,2,lighthouse,width3
473,1,lighthouse,comSync
474,7,lighthouse,posRt
475,7,lighthouse,estBs0Rt
476,7,lighthouse,estBs1Rt
477,7,lighthouse,x
478,7,lighthouse,y
479,7,lighthouse,z
480,7,lighthouse,delta
