id,type,group,name
76,7,acc,z
77,7,baro,asl
78,7,baro,temp
79,7,baro,pressure
80,5,controller,ctr_yaw
81,7,ctrltarget,x
82,7,ctrltarget,y
83,7,ctrltarget,z
84,7,ctrltarget,vx
85,7,ctrltarget,vy
86,7,ctrltarget,vz
87,7,ctrltarget,ax
88,7,ranging,pressure3
89,7,ctrltarget,az
90,7,ctrltarget,roll
91,7,ranging,pressure6
92,7,ctrltarget,yaw
93,5,ctrltargetZ,x
94,5,ctrltargetZ,y
95,5,ctrltargetZ,z
96,5,ctrltargetZ,vx
97,5,ctrltargetZ,vy
98,5,ctrltargetZ,vz
99,5,ctrltargetZ,ax
100,5,ctrltargetZ,ay
101,5,ctrltargetZ,az
102,7,gyro,x
103,7,gyro,y
104,7,gyro,z
105,7,health,motorVarXM1
106,7,health,motorVarYM1
107,7,health,motorVarXM2
108,7,health,motorVarYM2
109,7,health,motorVarXM3
110,7,health,motorVarYM3
111,7,health,motorVarXM4
112,7,health,motorVarYM4
113,1,health,motorPass
114,2,health,motorTestCount
115,1,health,checkStops
116,7,mag,x
117,7,mag,y
118,7,mag,z
119,7,stabilizer,roll
120,7,stabilizer,pitch
121,7,stabilizer,yaw
122,7,stabilizer,thrust
123,7,stabilizer,rtStab
124,3,stabilizer,intToOut
125,7,stateEstimate,x
126,7,stateEstimate,y
127,7,stateEstimate,z
128,7,stateEstimate,vx
129,7,stateEstimate,vy
130,7,stateEstimate,vz
131,7,stateEstimate,ax
132,7,stateEstimate,ay
133,7,stateEstimate,az
134,7,stateEstimate,roll
135,7,stateEstimate,pitch
136,7,stateEstimate,yaw
137,7,stateEstimate,qx
138,7,stateEstimate,qy
139,6,outlierf,bucket0
140,7,stateEstimate,qw
141,5,stateEstimateZ,x
142,5,stateEstimateZ,y
143,5,stateEstimateZ,z
144,5,stateEstimateZ,vx
145,5,stateEstimateZ,vy
146,5,stateEstimateZ,vz
147,5,stateEstimateZ,ax
148,5,stateEstimateZ,ay
149,5,stateEstimateZ,az
150,3,stateEstimateZ,quat
151,5,stateEstimateZ,rateRoll
152,5,stateEstimateZ,ratePitch
153,5,stateEstimateZ,rateYaw
154,7,posEstAlt,estimatedZ
155,7,posEstAlt,estVZ
156,7,posEstAlt,velocityZ
157,7,posCtl,targetVX
158,7,posCtl,targetVY
159,7,posCtl,targetVZ
160,7,posCtl,targetX
161,7,posCtl,targetY
162,7,posCtl,targetZ
163,7,posCtl,Xp
164,7,posCtl,Xi
165,7,posCtl,Xd
166,7,posCtl,Yp
167,7,posCtl,Yi
168,7,posCtl,Yd
169,7,posCtl,Zp
170,7,posCtl,Zi
171,7,posCtl,Zd
172,7,posCtl,VXp
173,7,posCtl,VXi
174,7,posCtl,VXd
175,7,posCtl,VZp
176,7,posCtl,VZi
177,7,posCtl,VZd
178,7,posCtrlIndi,gyr_p
179,7,posCtrlIndi,gyr_q
180,7,posCtrlIndi,gyr_r
181,7,posCtrlIndi,posRef_x
182,7,posCtrlIndi,posRef_y
183,7,posCtrlIndi,posRef_z
184,7,posCtrlIndi,velS_x
185,7,posCtrlIndi,velS_y
186,7,posCtrlIndi,velS_z
187,7,posCtrlIndi,velRef_x
188,7,posCtrlIndi,velRef_y
189,7,posCtrlIndi,velRef_z
190,7,posCtrlIndi,angS_roll
191,7,posCtrlIndi,angS_pitch
192,7,posCtrlIndi,angS_yaw
193,7,posCtrlIndi,angF_roll
194,7,posCtrlIndi,angF_pitch
195,7,posCtrlIndi,angF_yaw
196,7,posCtrlIndi,accRef_x
197,7,posCtrlIndi,accRef_y
198,7,posCtrlIndi,accRef_z
199,7,posCtrlIndi,accS_x
200,7,posCtrlIndi,accS_y
201,7,posCtrlIndi,accS_z
202,7,posCtrlIndi,accF_x
203,7,posCtrlIndi,accF_y
204,7,posCtrlIndi,accF_z
205,7,posCtrlIndi,accFT_x
206,7,posCtrlIndi,accFT_y
207,7,posCtrlIndi,accFT_z
208,7,posCtrlIndi,accErr_x
209,7,posCtrlIndi,accErr_y
210,7,posCtrlIndi,accErr_z
211,7,posCtrlIndi,phi_tilde
212,7,posCtrlIndi,theta_tilde
213,7,posCtrlIndi,T_tilde
214,7,posCtrlIndi,T_inner
215,7,posCtrlIndi,T_inner_f
216,7,posCtrlIndi,T_incremented
217,7,posCtrlIndi,cmd_phi
218,7,posCtrlIndi,cmd_theta
219,7,ctrlrpyt,cmd_thrust
220,7,ctrlrpyt,cmd_roll
221,7,ctrlrpyt,cmd_pitch
222,7,ctrlrpyt,cmd_yaw
223,7,ctrlthrust,cmd_thrust
224,7,ctrlthrust,cmd_roll
225,7,ctrlthrust,cmd_pitch
226,7,ctrlthrust,cmd_yaw
227,7,controller,cmd_thrust
228,7,controller,cmd_roll
229,7,controller,cmd_pitch
230,7,controller,cmd_yaw
231,7,controller,r_roll
232,7,controller,r_pitch
233,7,controller,r_yaw
234,7,controller,accelz
235,7,controller,actuatorThrust
236,7,controller,roll
237,7,controller,pitch
238,7,controller,yaw
239,7,controller,rollRate
240,7,controller,pitchRate
241,7,controller,yawRate
242,7,ctrlMel,cmd_thrust
243,7,ctrlMel,cmd_roll
244,7,ctrlMel,cmd_pitch
245,7,ctrlMel,cmd_yaw
246,7,ctrlMel,r_roll
247,7,ctrlMel,r_pitch
248,7,ctrlMel,r_yaw
249,7,ctrlMel,accelz
250,7,ctrlMel,zdx
251,7,ctrlMel,zdy
252,7,ctrlMel,zdz
253,7,ctrlMel,i_err_x
254,7,ctrlMel,i_err_y
255,7,ctrlMel,i_err_z
256,7,ctrlINDI,cmd_thrust
257,7,ctrlINDI,cmd_roll
258,7,ctrlINDI,cmd_pitch
259,7,ctrlINDI,cmd_yaw
260,7,ctrlINDI,r_roll
261,7,ctrlINDI,r_pitch
262,7,ctrlINDI,r_yaw
263,7,ctrlINDI,accelz
264,7,ctrlINDI,u_act_dyn.p
265,7,ctrlINDI,u_act_dyn.q
266,7,ctrlINDI,u_act_dyn.r
267,7,ctrlINDI,du.p
268,7,ctrlINDI,du.q
269,7,ctrlINDI,du.r
270,7,ctrlINDI,ang_accel_ref.p
271,7,ctrlINDI,ang_accel_ref.q
272,7,ctrlINDI,ang_accel_ref.r
273,7,ctrlINDI,rate_d[0]
274,7,ctrlINDI,rate_d[1]
275,7,ctrlINDI,rate_d[2]
276,3,motor,m1
277,3,motor,m2
278,3,motor,m3
279,3,motor,m4
280,1,kalman,inFlight
281,7,kalman,stateX
282,7,kalman,stateY
283,7,kalman,stateZ
284,7,kalman,statePX
285,7,kalman,statePY
286,7,kalman,statePZ
287,7,kalman,stateD0
288,7,kalman,stateD1
289,7,kalman,stateD2
290,7,kalman,varX
291,7,kalman,varY
292,7,kalman,varZ
293,7,kalman,varPX
294,7,kalman,varPY
295,7,kalman,varPZ
296,7,kalman,varD0
297,7,kalman,varD1
298,7,kalman,varD2
299,7,kalman,q0
300,7,kalman,q1
301,7,kalman,q2
302,7,kalman,q3
303,7,kalman,rtUpdate
304,7,kalman,rtPred
305,7,kalman,rtBaro
306,7,kalman,rtFinal
307,7,kalman,rtApnd
308,7,kalman,rtRej
309,7,kalman_states,ox
310,7,kalman_states,oy
311,7,kalman_states,vx
312,7,kalman_states,vy
313,7,kalman_pred,predNX
314,7,kalman_pred,predNY
315,7,kalman_pred,measNX
316,7,kalman_pred,measNY
317,6,outlierf,lhWin
318,3,colAv,latency
319,7,ring,fadeTime
320,6,gps,lat
321,6,gps,lon
322,7,gps,hMSL
323,7,gps,hAcc
324,6,gps,nsat
325,6,gps,fix
326,7,usd,spiWrBps
327,7,usd,spiReBps
328,7,usd,fatWrBps
329,1,loco,mode
330,7,loco,spiWr
331,7,loco,spiRe
332,2,ranging,state
333,7,ranging,distance0
334,7,ranging,distance1
335,7,ranging,distance2
336,7,ranging,distance3
337,7,ranging,distance4
338,7,ranging,distance5
339,7,ranging,distance6
340,7,ranging,distance7
341,7,ranging,pressure0
342,7,ranging,pressure1
343,7,ranging,pressure2
344,7,ranging,pressure3
345,7,ranging,pressure4
346,7,ranging,pressure5
347,7,ranging,pressure6
348,7,ranging,pressure7
349,1,twr,rangingSuccessRate0
350,1,twr,rangingPerSec0
351,1,twr,rangingSuccessRate1
352,1,twr,rangingPerSec1
353,1,twr,rangingSuccessRate2
354,1,twr,rangingPerSec2
355,1,twr,rangingSuccessRate3
356,1,twr,rangingPerSec3
357,1,twr,rangingSuccessRate4
358,1,twr,rangingPerSec4
359,1,twr,rangingSuccessRate5
360,1,twr,rangingPerSec5
361,7,tdoa2,d7-0
362,7,tdoa2,d0-1
363,7,tdoa2,d1-2
364,7,tdoa2,d2-3
365,7,tdoa2,d3-4
366,7,tdoa2,d4-5
367,7,tdoa2,d5-6
368,7,tdoa2,d6-7
369,7,tdoa2,cc0
370,7,tdoa2,cc1
371,7,tdoa2,cc2
372,7,tdoa2,cc3
373,7,tdoa2,cc4
374,7,tdoa2,cc5
375,7,tdoa2,cc6
376,7,tdoa2,cc7
377,2,tdoa2,dist7-0
378,2,tdoa2,dist0-1
379,2,tdoa2,dist1-2
380,2,tdoa2,dist2-3
381,2,tdoa2,dist3-4
382,2,tdoa2,dist4-5
383,2,tdoa2,dist5-6
384,2,tdoa2,dist6-7
385,7,tdoaEngine,stRx
386,7,tdoaEngine,stEst
387,7,tdoaEngine,stTime
388,7,tdoaEngine,stFound
389,7,tdoaEngine,stCc
390,7,tdoaEngine,stHit
391,7,tdoaEngine,stMiss
392,7,tdoaEngine,cc
393,2,tdoaEngine,tof
394,7,tdoaEngine,tdoa
395,6,outlierf,bucket0
396,6,outlierf,bucket1
397,6,outlierf,bucket2
398,6,outlierf,bucket3
399,6,outlierf,bucket4
400,7,outlierf,accLev
401,7,outlierf,errD
402,1,motion,motion
403,5,motion,deltaX
404,5,motion,deltaY
405,2,motion,shutter
406,1,motion,maxRaw
407,1,motion,minRaw
408,1,motion,Rawsum
409,1,motion,outlierCount
410,1,motion,squal
411,7,motion,std
412,2,oa,front
413,2,oa,back
414,2,oa,up
415,2,oa,left
416,2,oa,right
417,1,activeMarker,btSns
418,1,activeMarker,i2cOk
419,1,aideck,receivebyte
420,1,lighthouse,validAngles
421,7,lighthouse,rawAngle0x
422,7,lighthouse,rawAngle0y
423,7,lighthouse,rawAngle1x
424,7,lighthouse,rawAngle1y
425,7,lighthouse,angle0x
426,7,lighthouse,angle0y
427,7,lighthouse,angle1x
428,7,lighthouse,angle1y
429,7,lighthouse,angle0x_1
430,7,lighthouse,angle0y_1
431,7,lighthouse,angle1x_1
432,7,lighthouse,angle1y_1
433,7,lighthouse,angle0x_2
434,7,lighthouse,angle0y_2
435,7,lighthouse,angle1x_2
436,7,lighthouse,angle1y_2
437,7,lighthouse,angle0x_3
438,7,lighthouse,angle0y_3
439,7,lighthouse,angle1x_3
440,7,lighthouse,angle1y_3
441,7,lighthouse,rawAngle0xlh2
442,7,lighthouse,rawAngle0ylh2
443,7,lighthouse,rawAngle1xlh2
444,7,lighthouse,rawAngle1ylh2
445,7,lighthouse,angle0x_0lh2
446,7,lighthouse,angle0y_0lh2
447,7,lighthouse,angle1x_0lh2
448,7,lighthouse,angle1y_0lh2
449,7,lighthouse,serRt
450,7,lighthouse,frmRt
451,7,lighthouse,cycleRt
452,7,lighthouse,bs0Rt
453,7,lighthouse,bs1Rt
454,2,lighthouse,width0
455,2,lighthouse,width1
456,2,lighthouse,width2
457,2,lighthouse,width3
458,1,lighthouse,comSync
459,7,lighthouse,posRt
460,7,lighthouse,estBs0Rt
461,7,lighthouse,estBs1Rt
462,7,lighthouse,x
463,7,lighthouse,y
464,7,lighthouse,z
465,7,lighthouse,delta
